Date,Open,High,Low,Close,Volume
1988-07-31,1507.5,1555.7,1505.8,1512,0
1988-08-31,1518.6,1564.3,1478.4,1479.1,0
1988-09-30,1467.4,1547.8,1452.7,1543.4,0
1988-10-31,1538,1597.2,1533.2,1590.8,0
1988-11-30,1596.4,1604.3,1382,1428,0
1988-12-31,1420.5,1435.4,1392.4,1435.4,0
1989-01-31,1466.2,1505.3,1466.2,1490.5,0
1989-02-28,1482.3,1493.2,1433.6,1450.1,0
1989-03-31,1460.8,1527.7,1460.8,1527.7,0
1989-04-30,1545.5,1588.5,1538.1,1576.9,0
1989-05-31,1561.2,1561.2,1494.2,1519.8,0
1989-06-30,1539.3,1687.7,1539.3,1638.9,0
1989-07-31,1653.1,1798.7,1653.1,1795.4,0
1989-08-31,1802.2,1910.2,1802.2,1880.1,0
1989-09-30,1876.9,1901.2,1791.1,1796.8,0
1989-10-31,1774.9,1844.2,1623.4,1695.5,0
1989-11-30,1686,1779.1,1650,1779.1,0
1989-12-31,1792.9,1792.9,1714,1778.1,0
1990-01-31,1824,1824.5,1701.4,1715.9,0
1990-02-28,1726.2,1772.2,1681.3,1692.3,0
1990-03-31,1674.3,1713.6,1620.2,1642.8,0
1990-04-30,1609.3,1655.5,1561.6,1561.6,0
1990-05-31,1572.5,1795.8,1572.5,1779.8,0
1990-06-30,1802,1815.3,1767.9,1808.3,0
1990-07-31,1803.6,1860.4,1744.1,1762.2,0
1990-08-31,1732.7,1732.7,1423.4,1530.6,0
1990-09-30,1527.3,1527.3,1351,1351,0
1990-10-31,1400.4,1499.1,1400.4,1417.9,0
1990-11-30,1390.7,1429.4,1341.9,1384.9,0
1990-12-31,1389,1459.2,1364.5,1383.1,0
1991-01-31,1380.7,1451.2,1279,1434.3,0
1991-02-28,1434.7,1607.5,1428.7,1578.7,0
1991-03-31,1577.6,1660.3,1553.1,1649.4,0
1991-04-30,1648.2,1709.6,1645,1659.5,0
1991-05-31,1659.8,1749,1641.5,1740.8,0
1991-06-30,1740.2,1745.3,1658.7,1664.3,0
1991-07-31,1665.5,1758.6,1665.5,1727.2,0
1991-08-31,1726.9,1751.9,1584,1736.6,0
1991-09-30,1736.1,1739.9,1660.6,1664.7,0
1991-10-31,1666.5,1724.7,1659.7,1683.9,0
1991-11-30,1683.6,1747.1,1617.3,1622.6,0
1991-12-31,1620.2,1671.9,1583.1,1670.1,0
1992-01-31,1670.6,1787,1670.6,1753.5,0
1992-02-29,1753.5,1845.1,1744.2,1840.6,0
1992-03-31,1840.6,1858.7,1785.4,1837.2,0
1992-04-30,1836.9,1889.4,1814.8,1880.1,0
