Date,Open,High,Low,Close,Volume
1980-01-31,107.94,117.17,103.26,114.16,643466666
1980-02-29,114.16,120.22,111.33,113.66,531405554
1980-03-31,113.66,114.34,94.23,102.09,486916668
1980-04-30,102.09,106.79,98.95,106.29,374522221
1980-05-31,106.29,112.72,103.5,111.24,424955555
1980-06-30,111.24,117.98,109.77,114.24,460922222
1980-07-31,114.24,123.93,113.54,121.67,567649999
1980-08-31,121.67,127.78,119.42,122.38,536477777
1980-09-30,122.38,132.17,121.79,125.46,587616666
1980-10-31,125.46,135.88,124.66,127.47,573216667
1980-11-30,127.47,141.96,127.23,140.52,548949997
1980-12-31,140.52,140.66,125.32,135.76,569805556
1981-01-31,135.76,140.32,128.57,129.55,530844445
1981-02-28,129.48,132.02,124.66,131.27,453505555
1981-03-31,131.27,138.38,128.56,136,652516668
1981-04-30,136,137.72,131.58,132.81,624149999
1981-05-31,132.81,134.92,128.78,132.59,503016671
1981-06-30,132.59,135.67,128.77,131.21,611650000
1981-07-31,131.21,131.78,125.96,130.92,529983336
1981-08-31,130.92,135.18,122.29,122.79,511416667
1981-09-30,122.79,124.58,110.19,116.18,532855557
1981-10-31,116.18,123.28,115,121.89,554199999
1981-11-30,122.35,126.97,119.13,126.35,548844446
1981-12-31,126.35,127.32,121.04,122.55,533038890
1982-01-31,122.55,123.72,113.63,120.4,537966667
1982-02-28,119.81,119.81,110.03,113.11,540105554
1982-03-31,113.11,114.8,104.46,111.96,704827779
1982-04-30,111.96,119.33,111.48,116.44,631383333
1982-05-31,115.96,119.92,111.66,111.88,570255553
1982-06-30,111.97,112.48,107.01,109.61,616961112
1982-07-31,109.52,112.39,105.57,107.09,636216666
1982-08-31,107.71,120.26,102.2,119.51,929316665
1982-09-30,119.52,126.43,117.84,120.42,860022222
1982-10-31,120.4,140.4,120.15,133.72,1149200000
1982-11-30,133.72,144.36,132.89,138.53,1031688887
1982-12-31,138.56,143.68,134.79,140.64,934488889
1983-01-31,140.65,148.36,138.08,145.3,1031999998
1983-02-28,145.29,150.88,141.9,148.06,897472222
1983-03-31,148.07,155.02,148.07,152.96,1056622226
1983-04-30,152.92,164.43,150.17,164.43,992705553
1983-05-31,164.41,166.99,160.29,162.39,1085072221
1983-06-30,162.38,171.6,160.8,167.64,1096588887
1983-07-31,168.11,170.72,161.5,162.56,883427777
1983-08-31,162.34,165.91,158.5,164.4,948016667
1983-09-30,164.4,170.41,163.95,166.07,966561111
